clade_name	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla_massiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08432	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_eutactus;t__SGB5121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61183	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus_sulfuroxidans;t__SGB90453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36664	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla_massiliensis;t__SGB30647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08432	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas_funiformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.34102
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Oscillospiraceae_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.64611
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudocatenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.27883
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GGB16040;s__GGB16040_SGB9347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.98707
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86425
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_gandensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16637
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella_jalaludinii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92605
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri_clade_E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20117
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__Leucobacter_sp_cx_328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40359
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia_equolifaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30701
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_sp_AF36_15AT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15568
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_SGB4815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12956
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira_sp_NSJ_43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10729
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum;s__Anaerotignum_faecicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04078
k__Bacteria;p__Firmicutes;c__CFGB9581;o__OFGB9581;f__FGB9581;g__GGB9581;s__GGB9581_SGB4365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01719
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas_funiformis;t__SGB6962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.34102
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Oscillospiraceae_bacterium;t__SGB4247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.64611
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudocatenulatum;t__SGB17237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.27883
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GGB16040;s__GGB16040_SGB9347;t__SGB9347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.98707
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis;t__SGB4936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86425
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_gandensis;t__SGB10382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16637
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella_jalaludinii;t__SGB5904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92605
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri_clade_E;t__SGB1617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20117
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__Leucobacter_sp_cx_328;t__SGB87745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40359
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia_equolifaciens;t__SGB14797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30701
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_sp_AF36_15AT;t__SGB4552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15568
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_SGB4815;t__SGB4815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12956
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira_sp_NSJ_43;t__SGB5087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10729
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum;s__Anaerotignum_faecicola;t__SGB5190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04078
k__Bacteria;p__Firmicutes;c__CFGB9581;o__OFGB9581;f__FGB9581;g__GGB9581;s__GGB9581_SGB4365;t__SGB4365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01719
